BU,Assets,AmortHistory,ERNCHistoryPct,FriendlyName,SalaryAdj,ActiveBenAdj,ORM1RetAdj,ORM2RetAdj,ORD1RetAdj,ORD2RetAdj
AMG,602222,144201.76,0.083672515,AMG,1,1.113087747,0.996,0.996,0.996,0.996
CC,101784,8109.53,0.354981571,Council,1,0.701669138,1.095,1.095,1.095,1.095
DH,1043286,418985.25,0.056951524,Dept Head,1,1.112956105,0.987,0.987,0.987,0.987
EL39,4130734,1220531.88,0.114337462,Local 39,1,1.08151633,1.131,1.131,1.131,1.131
FMG,449546,274565.21,0.079289096,FMG,1,1.047046516,1.013,1.013,1.013,1.013
VCEA,4588762,1076143.94,0.110684159,VCEA,1,1.093632661,0.984,0.984,0.984,0.984
VFA,2620938,1091801.25,0.096837429,VFA,1,1.047139275,0.975,0.975,0.975,0.975
VMO,4291892,1505097.31,0.066496742,VMO,1,1.070268764,1.016,1.016,1.016,1.016
VPMA,1340156,796520.84,0.09810518,VPMA,1,1.022368943,0.966,0.966,0.966,0.966
VPOA,4105290,1640685.57,0.14406832,VPOA,1,1.044561011,0.975,0.975,0.975,0.975
