CalendarYear,MedPremPre65,MedPremPost65,MedCostPre65,MedCostPost65,MedCap,MedFloor
2017,0.07,0.06,0.07,0.06,0.07,0.07
2018,0.065,0.06,0.065,0.06,0.065,0.065
2019,0.06,0.06,0.06,0.06,0.06,0.06
2020,0.056,0.056,0.056,0.056,0.056,0.056
2021,0.055,0.055,0.055,0.055,0.055,0.055
2022,0.05482,0.05482,0.05482,0.05482,0.05482,0.05482
2023,0.05464,0.05464,0.05464,0.05464,0.05464,0.05464
2024,0.05446,0.05446,0.05446,0.05446,0.05446,0.05446
2025,0.05428,0.05428,0.05428,0.05428,0.05428,0.05428
2026,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541
2027,0.05392,0.05392,0.05392,0.05392,0.05392,0.05392
2028,0.05392,0.05392,0.05392,0.05392,0.05392,0.05392
2029,0.05392,0.05392,0.05392,0.05392,0.05392,0.05392
2030,0.05392,0.05392,0.05392,0.05392,0.05392,0.05392
2031,0.05392,0.05392,0.05392,0.05392,0.05392,0.05392
2032,0.05392,0.05392,0.05392,0.05392,0.05392,0.05392
2033,0.05392,0.05392,0.05392,0.05392,0.05392,0.05392
2034,0.05392,0.05392,0.05392,0.05392,0.05392,0.05392
2035,0.05392,0.05392,0.05392,0.05392,0.05392,0.05392
2036,0.05392,0.05392,0.05392,0.05392,0.05392,0.05392
2037,0.05392,0.05392,0.05392,0.05392,0.05392,0.05392
2038,0.05392,0.05392,0.05392,0.05392,0.05392,0.05392
2039,0.05392,0.05392,0.05392,0.05392,0.05392,0.05392
2040,0.05392,0.05392,0.05392,0.05392,0.05392,0.05392
2041,0.05392,0.05392,0.05392,0.05392,0.05392,0.05392
2042,0.05269,0.05269,0.05269,0.05269,0.05269,0.05269
2043,0.05186,0.05186,0.05186,0.05186,0.05186,0.05186
2044,0.05131,0.05131,0.05131,0.05131,0.05131,0.05131
2045,0.05086,0.05086,0.05086,0.05086,0.05086,0.05086
2046,0.05049,0.05049,0.05049,0.05049,0.05049,0.05049
2047,0.05015,0.05015,0.05015,0.05015,0.05015,0.05015
2048,0.04985,0.04985,0.04985,0.04985,0.04985,0.04985
2049,0.04958,0.04958,0.04958,0.04958,0.04958,0.04958
2050,0.04933,0.04933,0.04933,0.04933,0.04933,0.04933
2051,0.04909,0.04909,0.04909,0.04909,0.04909,0.04909
2052,0.04887,0.04887,0.04887,0.04887,0.04887,0.04887
2053,0.04866,0.04866,0.04866,0.04866,0.04866,0.04866
2054,0.04846,0.04846,0.04846,0.04846,0.04846,0.04846
2055,0.04827,0.04827,0.04827,0.04827,0.04827,0.04827
2056,0.04809,0.04809,0.04809,0.04809,0.04809,0.04809
2057,0.04791,0.04791,0.04791,0.04791,0.04791,0.04791
2058,0.04774,0.04774,0.04774,0.04774,0.04774,0.04774
2059,0.04758,0.04758,0.04758,0.04758,0.04758,0.04758
2060,0.04743,0.04743,0.04743,0.04743,0.04743,0.04743
2061,0.04728,0.04728,0.04728,0.04728,0.04728,0.04728
2062,0.04713,0.04713,0.04713,0.04713,0.04713,0.04713
2063,0.04699,0.04699,0.04699,0.04699,0.04699,0.04699
2064,0.04686,0.04686,0.04686,0.04686,0.04686,0.04686
2065,0.04672,0.04672,0.04672,0.04672,0.04672,0.04672
2066,0.04587,0.04587,0.04587,0.04587,0.04587,0.04587
2067,0.04506,0.04506,0.04506,0.04506,0.04506,0.04506
2068,0.04428,0.04428,0.04428,0.04428,0.04428,0.04428
2069,0.04353,0.04353,0.04353,0.04353,0.04353,0.04353
2070,0.0428,0.0428,0.0428,0.0428,0.0428,0.0428
2071,0.04209,0.04209,0.04209,0.04209,0.04209,0.04209
2072,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414
2073,0.04071,0.04071,0.04071,0.04071,0.04071,0.04071
2074,0.04004,0.04004,0.04004,0.04004,0.04004,0.04004
2075,0.03937,0.03937,0.03937,0.03937,0.03937,0.03937
